129919 ,Пита-бар  Meat  me ,нет ,кафе , "город  Москва ,  улица  Шаболовка ,  дом  29 ,  корпус  2 " ,44
149086 ,Хуторок ,нет ,бар , "город  Москва ,  Шоссейная  улица ,  дом  31 ,  корпус  2 " ,9
154280 ,Пиво-воды ,нет ,бар , "город  Москва ,  Щёлковское  шоссе ,  дом  85 ,  корпус  1 " ,22
20383 ,БАР  ПРИ  «ДВОРЦЕ  БРАКОСОЧЕТАНИЯ» ,нет ,бар , "город  Москва ,  улица  Юных  Ленинцев ,  дом  35 ,  корпус  1 " ,15
20533 ,Бар  при  сауне ,нет ,бар , "город  Москва ,  улица  Академика  Янгеля ,  дом  14 ,  корпус  7 " ,10
27477 ,ГБОУ  гимназия  №  1516 ,нет ,столовая , "город  Москва ,  Хабаровская  улица ,  дом  2 " ,230
129786 ,Кафе-бар  «Династия» ,нет ,кафе , "город  Москва ,  1-я  Вольская  улица ,  дом  17 ,  корпус  1 " ,45
24022 ,Бар  «ДЖАНГО» ,нет ,бар , "город  Москва ,  город  Зеленоград ,  корпус  1456 " ,50
149745 ,68.  ПАУЗА ,нет ,бар , "город  Москва ,  город  Зеленоград ,  корпус  1456 " ,48
153752 ,Пицца  Хат ,да ,предприятие  быстрого  обслуживания , "город  Москва ,  Хабаровская  улица ,  дом  10/30 " ,27
27476 ,ГБОУ  Школа  №  1598 ,нет ,столовая , "город  Москва ,  Хабаровская  улица ,  дом  8 " ,230
23310 ,Rainbow  Pub ,нет ,бар , "город  Москва ,  Сокольническая  площадь ,  дом  4 ,  корпус  1-2 " ,40
25829 ,Ночной  клуб  «ZALL» ,нет ,бар , "город  Москва ,  Братиславская  улица ,  дом  29 ,  корпус  1 " ,150
141325 ,Кальян-бар  PAROVARNYA ,нет ,кафе , "город  Москва ,  Братиславская  улица ,  дом  14 " ,30
20724 ,Бар  «Кружка» ,нет ,бар , "город  Москва ,  Люблинская  улица ,  дом  163/1 " ,65
141796 ,Кальян-Бар  «Бедуин» ,нет ,бар , "город  Москва ,  улица  Верхние  Поля ,  дом  36 ,  корпус  1 " ,70
52584 ,Караоке  клуб  FIVE ,нет ,бар , "город  Москва ,  улица  Перерва ,  дом  58 " ,55
20405 ,ФИТНЕС-БАР  «WORLD  CLASS» ,да ,бар , "город  Москва ,  улица  Архитектора  Власова ,  дом  22 " ,25
20415 ,Чашка ,нет ,бар , "город  Москва ,  улица  Академика  Семёнова ,  дом  3 " ,40
153315 ,Тоже  Паб ,нет ,бар , "город  Москва ,  Валовая  улица ,  дом  21 ,  корпус  125 " ,44
151118 ,Элемент ,нет ,бар , "город  Москва ,  Нежинская  улица ,  дом  9 ,  корпус  1 " ,20
136317 ,Кафе  «Страдивари»  бар ,нет ,кафе , "город  Москва ,  улица  Академика  Анохина ,  дом  60 " ,45
